x,y,z
214,145,237
214,145,237
173,109,120
173,109,120
173,109,120
173,109,120
173,109,120
112,62,-20
112,62,-20
112,62,-20
112,62,-20
112,62,-20
112,62,-20
55,19,-122
55,19,-122
55,19,-122
55,19,-122
55,19,-122
26,-16,-164
26,-16,-164
26,-16,-164
26,-16,-164
26,-16,-164
9,-28,-169
9,-28,-169
9,-28,-169
9,-28,-169
9,-28,-169
14,-29,-115
14,-29,-115
14,-29,-115
14,-29,-115
14,-29,-115
14,-19,-21
30,-19,-21
30,-19,-21
30,-19,-21
30,-19,-21
30,-19,-21
52,10,69
52,10,69
52,10,69
52,10,69
52,10,69
52,10,120
75,59,120
75,59,120
75,59,120
75,59,120
75,59,120
83,96,122
83,96,122
83,96,122
83,96,122
83,96,122
83,96,122
36,110,127
36,110,127
36,110,127
36,110,127
36,110,127
-35,118,170
-35,118,170
-35,118,170
-35,118,170
-35,118,170
-92,112,182
-92,112,182
-92,112,182
-92,112,182
-92,112,182
-136,78,136
-136,78,136
-136,78,136
-136,78,136
-136,78,136
-199,14,84
-199,14,84
-199,14,84
-199,14,84
-199,14,84
-199,14,50
-266,-23,50
-266,-23,50
-266,-23,50
-266,-23,50
-266,-23,50
-313,21,-2
-313,21,-2
-313,21,-2
-313,21,-2
-313,21,-2
-371,56,-36
-371,56,-36
-371,56,-36
-371,56,-36
-371,56,-36
-438,18,-10
-438,18,-10
-438,18,-10
-438,18,-10
-438,18,-10
-458,-78,77
-458,-78,77
-458,-78,77
-458,-78,77
-458,-78,77
-391,-136,186
-391,-136,186
-391,-136,186
-391,-136,186
-391,-136,186
-281,-81,264
-281,-81,264
-281,-81,264
-281,-81,264
-281,-81,264
-265,32,292
-265,32,292
-265,32,292
-265,32,292
-265,32,292
-378,152,287
-378,152,287
-378,152,287
-378,152,287
-378,152,287
-587,213,254
-587,213,254
-587,213,254
-587,213,254
-587,213,254
-781,234,175
-781,234,175
-781,234,175
-781,234,175
-781,234,175
-853,216,62
-853,216,62
-853,216,62
-853,216,62
-853,216,62
-828,108,-38
-828,108,-38
-828,108,-38
-828,108,-38
-828,108,-38
-763,-36,-143
-763,-36,-143
-763,-36,-143
-763,-36,-143
-507,-170,-257
-701,-170,-257
-701,-170,-257
-701,-170,-257
-701,-170,-257
-668,-237,-335
-668,-237,-335
-668,-237,-335
-668,-237,-335
-668,-237,-315
-757,-208,-315
-757,-208,-315
-757,-208,-315
-757,-208,-315
-975,-123,-224
-975,-123,-224
