timestamp,x,y,z
511,-1185,-109,148
512,-1185,-109,148
513,-1185,-109,148
514,-1185,-109,138
515,-1192,-186,138
516,-1192,-186,138
517,-1192,-186,138
518,-1192,-186,138
519,-1212,-264,133
520,-1212,-264,133
521,-1212,-264,133
522,-1212,-264,133
523,-1212,-264,133
524,-1219,-326,133
525,-1219,-326,133
526,-1219,-326,133
527,-1219,-326,133
528,-1199,-366,133
529,-1199,-366,133
530,-1199,-366,133
531,-1199,-366,133
532,-1199,-366,133
533,-1152,-399,137
534,-1152,-399,137
535,-1152,-399,137
536,-1152,-399,137
537,-1083,-453,165
538,-1083,-453,165
539,-1083,-453,165
540,-1083,-453,165
541,-1083,-453,165
542,-1005,-495,177
543,-1005,-495,177
544,-1005,-495,177
545,-1005,-495,177
546,-967,-506,226
547,-967,-506,226
548,-967,-506,226
549,-967,-506,226
550,-967,-506,226
551,-921,-522,275
552,-921,-522,275
553,-921,-522,275
554,-921,-522,275
555,-921,-522,275
556,-894,-547,261
557,-894,-547,261
558,-894,-547,261
559,-894,-547,261
560,-894,-560,212
561,-901,-560,212
562,-901,-560,212
563,-901,-560,212
564,-901,-560,212
565,-907,-579,146
566,-907,-579,146
567,-907,-579,146
568,-907,-579,146
569,-907,-579,146
570,-910,-604,64
571,-910,-604,64
572,-910,-604,64
573,-910,-604,64
574,-910,-604,64
575,-927,-640,-22
576,-927,-640,-22
577,-927,-640,-22
578,-927,-640,-22
579,-927,-640,-97
580,-940,-699,-97
581,-940,-699,-97
582,-940,-699,-97
583,-940,-699,-97
584,-948,-718,-124
585,-948,-718,-124
586,-948,-718,-124
587,-948,-718,-124
588,-948,-718,-124
589,-926,-694,-72
590,-926,-694,-72
591,-926,-694,-72
592,-926,-694,-72
593,-926,-676,-19
594,-869,-676,-19
595,-869,-676,-19
596,-869,-676,-19
597,-869,-676,-19
598,-788,-697,4
599,-788,-697,4
600,-788,-697,4
601,-788,-697,4
602,-788,-697,4
603,-702,-735,16
604,-702,-735,16
605,-702,-735,16
606,-702,-735,16
607,-702,-735,16
608,-623,-779,21
609,-623,-779,21
610,-623,-779,21
611,-623,-779,21
612,-623,-779,21
613,-571,-824,22
614,-571,-824,22
615,-571,-824,22
616,-571,-824,22
617,-571,-824,22
618,-558,-843,34
619,-558,-843,34
620,-558,-843,34
621,-558,-843,34
622,-558,-843,34
623,-550,-833,63
624,-550,-833,63
625,-550,-833,63
626,-550,-833,63
627,-550,-833,63
628,-511,-801,113
629,-511,-801,113
630,-511,-801,113
631,-511,-801,113
632,-511,-545,178
633,-394,-774,178
634,-394,-774,178
635,-394,-774,178
636,-394,-774,178
637,-241,-770,224
638,-241,-770,224
639,-241,-770,224
640,-241,-770,224
641,-241,-770,224
642,-102,-786,225
643,-102,-786,225
644,-102,-786,225
645,-102,-786,225
646,-102,-786,225
647,-42,-814,204
648,-42,-814,204
649,-42,-814,204
650,-42,-814,204
651,-42,-814,136
652,-27,-835,136
653,-27,-835,136
654,-27,-835,136
655,-27,-835,136
656,-50,-896,25
657,-50,-896,25
658,-50,-896,25
659,-50,-896,25
660,-50,-896,25
661,-50,-896,-83
662,-117,-960,-83
663,-117,-960,-83
664,-117,-960,-83
665,-117,-960,-83
666,-186,-993,-122
667,-186,-993,-122
668,-186,-993,-122
669,-186,-993,-122
670,-186,-993,-122
671,-207,-951,-116
672,-207,-951,-116
673,-207,-951,-116
674,-207,-951,-116
675,-195,-852,-78
676,-195,-852,-78
677,-195,-852,-78
678,-195,-852,-78
679,-195,-852,-78
680,-183,-743,-48
681,-183,-743,-48
682,-183,-743,-48
683,-183,-743,-48
684,-183,-743,-48
685,-208,-703,-78
686,-208,-703,-78
687,-208,-703,-78
688,-208,-703,-78
689,-208,-703,-181
690,-223,-763,-181
691,-223,-763,-181
692,-223,-763,-181
693,-223,-763,-181
694,-223,-877,-325
695,-223,-877,-325
696,-223,-877,-325
697,-223,-877,-325
698,-223,-877,-457
699,-206,-977,-457
700,-206,-977,-457
701,-206,-977,-457
702,-206,-977,-457
703,-161,-993,-532
704,-161,-993,-532
705,-161,-993,-532
706,-161,-993,-532
707,-161,-993,-532
708,-67,-904,-527
709,-67,-904,-527
710,-67,-904,-527
711,-67,-904,-527
712,30,-788,-468
713,30,-788,-468
714,30,-788,-468
715,30,-788,-468
716,30,-788,-468
717,80,-725,-405
718,80,-725,-405
719,80,-725,-405
720,80,-725,-405
721,80,-725,-405
722,73,-744,-387
723,73,-744,-387
724,73,-744,-387
725,73,-744,-387
726,73,-744,-387
727,46,-823,-407
728,46,-823,-407
729,46,-823,-407
730,46,-823,-407
731,46,-823,-407
732,37,-911,-439
733,37,-911,-439
734,37,-911,-439
735,37,-911,-439
736,37,-911,-439
737,39,-981,-506
738,39,-981,-506
739,39,-981,-506
740,39,-981,-506
741,39,-981,-506
742,83,-998,-572
743,83,-998,-572
744,83,-998,-572
745,83,-998,-572
746,83,-998,-572
747,167,-967,-585
748,167,-967,-585
749,167,-967,-585
750,167,-967,-585
751,257,-943,-549
752,257,-943,-549
753,257,-943,-549
754,257,-943,-549
755,257,-943,-549
756,351,-947,-470
757,351,-947,-470
758,351,-947,-470
759,351,-947,-470
760,351,-947,-470
761,470,-1006,-363
762,470,-1006,-363
763,470,-1006,-363
764,470,-1006,-363
765,580,-1066,-255
766,580,-1066,-255
767,580,-1066,-255
768,580,-1066,-255
769,580,-1066,-255
770,660,-1131,-203
771,660,-1131,-203
772,660,-1131,-203
773,660,-1131,-203
774,701,-1216,-213
775,701,-1216,-213
776,701,-1216,-213
777,701,-1216,-213
778,701,-1216,-213
779,679,-1266,-228
780,679,-1266,-228
781,679,-1266,-228
782,679,-1266,-228
783,679,-1266,-202
784,608,-1243,-202
785,608,-1243,-202
786,608,-1243,-202
787,608,-1243,-202
788,563,-1211,-161
789,563,-1211,-161
790,563,-1211,-161
791,563,-1211,-161
792,563,-1211,-161
793,501,-1182,-135
794,501,-1182,-135
795,501,-1182,-135
796,501,-1182,-135
797,434,-1166,-116
798,434,-1166,-116
799,434,-1166,-116
800,434,-1166,-116
801,434,-1166,-116
802,410,-1153,-92
803,410,-1153,-92
804,410,-1153,-92
805,410,-1153,-92
806,477,-1170,-95
807,477,-1170,-95
808,477,-1170,-95
809,477,-1170,-95
810,477,-1170,-95
811,628,-1224,-132
812,628,-1224,-132
813,628,-1224,-132
814,628,-1224,-132
815,628,-1224,-132
816,810,-1268,-190
817,810,-1268,-190
818,810,-1268,-190
819,810,-1268,-190
820,864,-1269,-231
821,864,-1269,-231
822,864,-1269,-231
823,864,-1269,-231
824,864,-1269,-231
825,748,-1250,-213
826,748,-1250,-213
827,748,-1250,-213
828,748,-1250,-213
829,583,-1194,-161
830,583,-1194,-161
831,583,-1194,-161
832,583,-1194,-161
833,583,-1194,-161
834,509,-1100,-81
835,509,-1100,-81
836,509,-1100,-81
837,509,-1100,-81
838,509,-1100,22
839,540,-1069,22
840,540,-1069,22
841,540,-1069,22
842,540,-1069,22
843,651,-1145,97
844,651,-1145,97
845,651,-1145,97
846,651,-1145,97
847,651,-1145,97
848,828,-1283,98
849,828,-1283,98
850,828,-1283,98
851,828,-1283,98
852,828,-1283,98
853,897,-1342,21
854,897,-1342,21
855,897,-1342,21
856,897,-1342,21
857,897,-1342,21
858,781,-1282,-123
859,781,-1282,-123
860,781,-1282,-123
861,781,-1282,-123
862,781,-1282,-123
863,672,-1238,-139
864,672,-1238,-139
865,672,-1238,-139
866,672,-1238,-139
867,748,-1126,36
868,748,-1126,36
869,748,-1126,36
870,748,-1126,36
871,748,-1126,36
872,863,-944,342
873,863,-944,342
874,863,-944,342
875,863,-944,342
876,863,-944,342
877,956,-820,686
878,956,-820,686
879,956,-820,686
880,956,-820,686
881,956,-820,686
882,1054,-778,931
883,1054,-778,931
884,1054,-778,931
885,1054,-778,931
886,1054,-778,931
887,1098,-763,1011
888,1098,-763,1011
889,1098,-763,1011
890,1098,-763,1011
891,983,-764,838
892,983,-764,838
893,983,-764,838
894,983,-764,838
895,983,-764,838
896,727,-792,456
897,727,-792,456
898,727,-792,456
899,727,-792,456
900,727,-792,456
901,521,-837,51
902,521,-837,51
903,521,-837,51
904,521,-837,51
905,521,-837,51
906,495,-831,-184
907,495,-831,-184
908,495,-831,-184
909,495,-831,-184
910,495,-831,-184
911,596,-790,-297
912,596,-790,-297
913,596,-790,-297
914,596,-790,-297
915,596,-790,-358
916,748,-793,-358
917,748,-793,-358
918,748,-793,-358
919,748,-793,-358
920,959,-835,-392
921,959,-835,-392
922,959,-835,-392
923,959,-835,-392
924,959,-835,-392
925,1092,-845,-448
926,1092,-845,-448
927,1092,-845,-448
928,1092,-845,-448
929,1092,-845,-501
930,1077,-800,-501
931,1077,-800,-501
932,1077,-800,-501
