t,x,y,z
539,-2380,1219,305
540,-2380,1219,305
541,-2380,1219,305
542,-2380,1219,305
543,-2625,1005,103
544,-2625,1005,103
545,-2625,1005,103
546,-2625,1005,103
547,-2625,1005,103
548,-2943,766,-41
549,-2943,766,-41
550,-2943,766,-41
551,-2943,766,-41
552,-2943,766,-41
553,-3204,581,-140
554,-3204,581,-140
555,-3204,581,-140
556,-3204,581,-140
557,-3235,453,-160
558,-3235,453,-160
559,-3235,453,-160
560,-3235,453,-160
561,-3235,453,-160
562,-2999,431,-38
563,-2999,431,-38
564,-2999,431,-38
565,-2999,431,-38
566,-2625,479,201
567,-2625,479,201
568,-2625,479,201
569,-2625,479,201
570,-2625,479,201
571,-2301,660,368
572,-2301,660,368
573,-2301,660,368
574,-2301,660,368
575,-2301,660,368
576,-2092,871,374
577,-2092,871,374
578,-2092,871,374
579,-2092,871,374
580,-2092,871,294
581,-1951,1094,294
582,-1951,1094,294
583,-1951,1094,294
584,-1951,1094,294
585,-1838,1113,144
586,-1838,1113,144
587,-1838,1113,144
588,-1838,1113,144
589,-1838,1113,144
590,-1723,919,-94
591,-1723,919,-94
592,-1723,919,-94
593,-1723,919,-94
594,-1632,633,-353
595,-1632,633,-353
596,-1632,633,-353
597,-1632,633,-353
598,-1632,633,-353
599,-1612,433,-530
600,-1612,433,-530
601,-1612,433,-530
602,-1612,433,-530
603,-1612,371,-602
604,-1581,371,-602
605,-1581,371,-602
606,-1581,371,-602
607,-1581,371,-602
608,-1501,406,-624
609,-1501,406,-624
610,-1501,406,-624
611,-1501,406,-624
612,-1501,406,-617
613,-1487,456,-617
614,-1487,456,-617
615,-1487,456,-617
616,-1487,456,-617
617,-1556,506,-570
618,-1556,506,-570
619,-1556,506,-570
620,-1556,506,-570
621,-1556,506,-570
622,-1618,572,-533
623,-1618,572,-533
624,-1618,572,-533
625,-1618,572,-533
626,-1586,598,-512
627,-1586,598,-512
628,-1586,598,-512
629,-1586,598,-512
630,-1586,598,-512
631,-1466,554,-554
632,-1466,554,-554
633,-1466,554,-554
634,-1466,554,-554
635,-1367,458,-616
636,-1367,458,-616
637,-1367,458,-616
638,-1367,458,-616
639,-1367,458,-616
640,-1349,371,-666
641,-1349,371,-666
642,-1349,371,-666
643,-1349,371,-666
644,-1403,322,-672
645,-1403,322,-672
646,-1403,322,-672
647,-1403,322,-672
648,-1403,322,-672
649,-1507,327,-621
650,-1507,327,-621
651,-1507,327,-621
652,-1507,327,-621
653,-1763,380,-538
654,-1644,380,-538
655,-1644,380,-538
656,-1644,380,-538
657,-1644,380,-538
658,-1770,474,-429
659,-1770,474,-429
660,-1770,474,-429
661,-1770,474,-429
662,-1770,474,-338
663,-1890,531,-338
664,-1890,531,-338
665,-1890,531,-338
666,-1890,531,-338
667,-1975,530,-289
668,-1975,530,-289
669,-1975,530,-289
670,-1975,530,-289
671,-1975,530,-289
672,-1969,485,-265
673,-1969,485,-265
674,-1969,485,-265
675,-1969,485,-265
676,-1894,416,-239
677,-1894,416,-239
678,-1894,416,-239
679,-1894,416,-239
680,-1894,416,-239
681,-1789,394,-178
682,-1789,394,-178
683,-1789,394,-178
684,-1789,394,-178
