x,y,z
4,1,-2
4,1,-2
4,1,-2
4,1,-2
4,1,-2
4,1,-2
1,1,-3
1,1,-3
1,1,-3
1,1,-3
1,1,-3
1,1,-3
1,1,-3
-1,3,-4
-1,3,-4
-1,3,-4
-1,3,-4
-1,3,-4
-1,3,-4
-5,1,-1
-5,1,-1
-5,1,-1
-5,1,-1
-5,1,-1
-5,1,-1
-2,2,-1
-2,2,-1
-2,2,-1
-2,2,-1
-2,2,-1
-2,2,-1
-3,4,1
-3,4,1
-3,4,1
-3,4,1
-3,4,1
-3,4,1
-4,3,-2
-4,3,-2
-4,3,-2
-4,3,-2
-4,3,-2
-4,3,-2
-4,0,0
-2,0,0
-2,0,0
-2,0,0
-2,0,0
-2,0,0
-2,0,0
-4,0,-2
-4,0,-2
-4,0,-2
-4,0,-2
-4,0,-2
-4,0,-2
-1,0,-4
-1,0,-4
-1,0,-4
-1,0,-4
-1,0,-4
-1,0,-4
-2,2,-1
-2,2,-1
-2,2,-1
-2,2,-1
-2,2,-1
-2,2,-1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3,-3,-4
3,-3,-4
3,-3,-4
3,-3,-4
3,-3,-4
3,-3,-4
2,-1,-1
2,-1,-1
2,-1,-1
2,-1,-1
2,-1,-1
2,-1,-1
-3,1,1
-3,1,1
-3,1,1
-3,1,1
-3,1,1
-3,1,1
-3,1,1
-6,-2,1
-6,-2,1
-6,-2,1
-6,-2,1
-6,-2,1
-6,-2,1
-4,0,0
-4,0,0
-4,0,0
-4,0,0
-4,0,0
-4,0,0
7,2,-4
7,2,-4
7,2,-4
7,2,-4
7,2,-4
7,2,-4
-1,0,1
-1,0,1
-1,0,1
-1,0,1
-1,0,1
-1,0,1
-1,0,1
0,4,1
0,4,1
0,4,1
0,4,1
0,4,1
0,4,1
0,4,-4
2,0,-4
2,0,-4
2,0,-4
2,0,-4
2,0,-4
2,0,-4
7,2,-6
7,2,-6
7,2,-6
7,2,-6
7,2,-6
7,2,-6
2,-1,-2
2,-1,-2
2,-1,-2
2,-1,-2
2,-1,-2
2,-1,-2
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-1,-1,-1
-3,1,0
-3,1,0
-3,1,0
-3,1,0
-3,1,0
-3,1,0
-3,1,1
-2,-2,1
-2,-2,1
-2,-2,1
-2,-2,1
-2,-2,1
-2,-2,1
-5,3,-1
-5,3,-1
-5,3,-1
-5,3,-1
-5,3,-1
-5,3,-1
0,2,-4
0,2,-4
0,2,-4
0,2,-4
0,2,-4
0,2,-4
1,1,-2
1,1,-2
1,1,-2
1,1,-2
1,1,-2
1,1,-2
1,1,-2
-4,-1,-2
-4,-1,-2
-4,-1,-2
-4,-1,-2
-4,-1,-2
-4,3,1
-1,3,1
-1,3,1
-1,3,1
-1,3,1
-1,3,1
-1,3,1
-2,3,-1
-2,3,-1
-2,3,-1
-2,3,-1
-2,3,-1
-2,3,-1
0,3,1
0,3,1
0,3,1
0,3,1
0,3,1
0,3,1
0,3,1
-5,-1,1
-5,-1,1
-5,-1,1
-5,-1,1
-5,-1,1
-5,-1,1
1,-3,-2
1,-3,-2
1,-3,-2
1,-3,-2
1,-3,-2
1,-3,-2
1,0,-2
1,0,-2
1,0,-2
1,0,-2
1,0,-2
1,0,-2
-6,0,-5
-6,0,-5
-6,0,-5
-6,0,-5
-6,0,-5
-6,0,-5
-3,0,2
-3,0,2
-3,0,2
-3,0,2
-3,0,2
-3,0,2
-3,0,2
-5,-2,2
-5,-2,2
-5,-2,2
-5,-2,2
-5,-2,2
-5,-2,2
-5,-2,-1
-5,-2,-1
-5,-2,-1
-5,-2,-1
-5,-2,-1
-5,-2,-1
0,1,-3
0,1,-3
0,1,-3
0,1,-3
0,1,-3
0,1,-3
-4,-3,-4
-4,-3,-4
-4,-3,-4
-4,-3,-4
-4,-3,-4
-4,-3,-4
-3,-3,-2
-3,-3,-2
-3,-3,-2
-3,-3,-2
-3,-3,-2
-3,-3,-2
-8,4,1
-8,4,1
-8,4,1
-8,4,1
-8,4,1
-8,4,1
-4,2,2
-4,2,2
-4,2,2
-4,2,2
-4,2,2
-4,2,2
-4,2,-2
-3,5,-2
-3,5,-2
-3,5,-2
-3,5,-2
-3,5,-2
-3,5,-9
0,4,-9
0,4,-9
0,4,-9
0,4,-9
0,4,-9
0,4,-9
-1,0,-4
-1,0,-4
-1,0,-4
-1,0,-4
-1,0,-4
-1,0,-4
-3,-1,-4
-3,-1,-4
-3,-1,-4
-3,-1,-4
-3,-1,-4
-3,-1,-4
-1,-1,-5
-1,-1,-5
-1,-1,-5
-1,-1,-5
-1,-1,-5
-1,-1,-5
-4,-3,-1
-4,-3,-1
-4,-3,-1
-4,-3,-1
-4,-3,-1
-4,-3,-2
-4,0,-2
-4,0,-2
-4,0,-2
-4,0,-2
-4,0,-2
-4,0,-2
-6,0,-2
-6,0,-2
-6,0,-2
-6,0,-2
-6,0,-2
-6,0,-2
-10,4,-2
-10,4,-2
-10,4,-2
-10,4,-2
-10,4,-2
-10,4,0
-5,2,0
-5,2,0
-5,2,0
-5,2,0
-5,2,0
-5,2,0
-2,-1,-2
-2,-1,-2
-2,-1,-2
-2,-1,-2
-2,-1,-2
-2,-1,-2
-8,3,-3
-8,3,-3
-8,3,-3
-8,3,-3
-8,3,-3
-8,3,-3
-5,2,-1
-5,2,-1
-5,2,-1
-5,2,-1
-5,2,-1
-5,2,-1
-5,1,-3
-5,1,-3
-5,1,-3
-5,1,-3
-5,1,-3
-5,1,-3
2,2,-4
2,2,-4
2,2,-4
2,2,-4
2,2,-4
2,2,-4
1,0,-1
1,0,-1
1,0,-1
1,0,-1
1,0,-1
1,0,-1
1,0,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
0,-1,-1
2,-1,-2
2,-1,-2
2,-1,-2
2,-1,-2
2,-1,-2
2,-1,-2
2,-2,-1
2,-2,-1
2,-2,-1
2,-2,-1
2,-2,-1
2,-2,-1
3,-2,-3
3,-2,-3
3,-2,-3
3,-2,-3
3,-2,-3
3,-2,-3
5,1,-2
5,1,-2
5,1,-2
5,1,-2
5,1,-2
5,1,-2
5,1,0
1,4,0
1,4,0
1,4,0
1,4,0
1,4,0
1,4,0
-3,4,0
-3,4,0
-3,4,0
-3,4,0
-3,4,0
-3,4,0
-3,4,0
-3,3,0
-3,3,0
-3,3,0
-3,3,0
-3,3,0
-3,3,0
4,1,-3
4,1,-3
4,1,-3
4,1,-3
4,1,-3
4,1,-3
4,1,-2
-1,3,-2
-1,3,-2
-1,3,-2
-1,3,-2
-1,3,-2
-1,3,-2
3,1,-3
3,1,-3
3,1,-3
3,1,-3
3,1,-3
3,1,-3
-3,1,-2
-3,1,-2
-3,1,-2
-3,1,-2
-3,1,-2
-3,1,-2
2,3,-1
2,3,-1
2,3,-1
2,3,-1
2,3,-1
2,3,-1
2,3,-4
0,-1,-4
0,-1,-4
0,-1,-4
0,-1,-4
0,-1,-4
0,-1,-4
-2,1,-4
-2,1,-4
-2,1,-4
-2,1,-4
-2,1,-4
-2,1,-4
0,1,-3
0,1,-3
0,1,-3
0,1,-3
0,1,-3
0,1,-3
1,2,-1
1,2,-1
1,2,-1
1,2,-1
1,2,-1
1,2,-1
1,2,-2
8,2,-2
8,2,-2
8,2,-2
8,2,-2
8,2,-2
8,2,-2
1,-2,0
1,-2,0
1,-2,0
1,-2,0
1,-2,0
1,-2,0
-6,1,1
-6,1,1
-6,1,1
-6,1,1
-6,1,1
-6,1,1
-6,1,1
-3,2,-2
-3,2,-2
-3,2,-2
-3,2,-2
-3,2,-2
-3,2,-2
-8,-2,-1
-8,-2,-1
-8,-2,-1
-8,-2,-1
-8,-2,-1
-8,-2,-1
-2,-4,-2
-2,-4,-2
-2,-4,-2
-2,-4,-2
-2,-4,-2
-2,-4,-1
-3,-2,-1
-3,-2,-1
-3,-2,-1
-3,-2,-1
-3,-2,-1
-4,-1,-1
-4,-1,-1
-4,-1,-1
-4,-1,-1
-4,-1,-1
-4,-1,-1
-3,-2,0
-3,-2,0
-3,-2,0
-3,-2,0
-3,-2,0
-3,-2,0
-1,-4,-3
-1,-4,-3
-1,-4,-3
-1,-4,-3
-1,-4,-3
-1,-4,-3
-3,-1,-2
-3,-1,-2
-3,-1,-2
-3,-1,-2
-3,-1,-2
-3,-1,-2
-4,1,0
-4,1,0
-4,1,0
-4,1,0
-4,1,0
-4,1,0
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
1,-1,-1
0,1,-1
0,1,-1
0,1,-1
0,1,-1
0,1,-1
0,1,-1
0,1,-1
1,3,0
1,3,0
1,3,0
1,3,0
1,3,0
1,3,0
-3,1,-1
-3,1,-1
-3,1,-1
-3,1,-1
-3,1,-1
-3,1,-1
-3,1,0
-2,-1,0
-2,-1,0
-2,-1,0
-2,-1,0
-2,-1,0
-2,-1,0
-2,2,0
-2,2,0
-2,2,0
-2,2,0
-2,2,0
-2,2,0
-3,0,-2
-3,0,-2
-3,0,-2
-3,0,-2
-3,0,-2
-3,0,-2
-1,1,-1
-1,1,-1
-1,1,-1
-1,1,-1
-1,1,-1
-1,1,-1
-6,-1,-2
-6,-1,-2
-6,-1,-2
-6,-1,-2
-6,-1,-2
-6,-1,-2
-4,1,-2
-4,1,-2
-4,1,-2
-4,1,-2
-4,1,-2
-4,1,-2
-3,4,0
-3,4,0
-3,4,0
-3,4,0
-3,4,0
-3,4,0
-3,1,0
-1,1,0
-1,1,0
-1,1,0
-1,1,0
-1,1,0
-1,1,0
0,-1,-2
0,-1,-2
0,-1,-2
0,-1,-2
0,-1,-2
0,-1,-2
-5,0,-4
-5,0,-4
-5,0,-4
-5,0,-4
-5,0,-4
-5,0,-4
-3,4,-3
-3,4,-3
-3,4,-3
-3,4,-3
-3,4,-3
-3,4,-3
-1,1,-1
-1,1,-1
-1,1,-1
-1,1,-1
-1,1,-1
-1,1,-1
-2,3,-2
-2,3,-2
-2,3,-2
-2,3,-2
-2,3,-2
-2,3,-2
1,4,-1
1,4,-1
1,4,-1
1,4,-1
1,4,-1
1,4,-1
1,4,-1
-2,0,-3
-2,0,-3
-2,0,-3
-2,0,-3
-2,0,-3
-2,0,-3
-4,-1,-2
-4,-1,-2
-4,-1,-2
-4,-1,-2
-4,-1,-2
-4,-1,-2
-8,0,1
-8,0,1
-8,0,1
-8,0,1
-8,0,1
-8,0,1
-2,3,-3
-2,3,-3
-2,3,-3
-2,3,-3
-2,3,-3
-2,3,-3
-1,6,-4
-1,6,-4
-1,6,-4
-1,6,-4
-1,6,-4
-1,6,-4
-2,2,-2
-2,2,-2
-2,2,-2
-2,2,-2
-2,2,-2
-2,2,-2
-8,0,-2
-8,0,-2
-8,0,-2
-8,0,-2
-8,0,-2
-8,0,-2
-8,2,-2
-3,2,-2
-3,2,-2
-3,2,-2
-3,2,-2
-3,2,-2
-3,2,2
-1,4,2
-1,4,2
-1,4,2
-1,4,2
-1,4,2
-1,4,2
-2,0,1
-2,0,1
-2,0,1
-2,0,1
-2,0,1
-2,0,1
2,7,-1
2,7,-1
2,7,-1
2,7,-1
2,7,-1
2,7,-1
2,7,-1
-6,6,-2
-6,6,-2
-6,6,-2
-6,6,-2
-6,6,-2
-6,6,-2
-5,-1,0
-5,-1,0
-5,-1,0
-5,-1,0
-5,-1,0
-5,-1,0
-3,2,2
-3,2,2
-3,2,2
-3,2,2
-3,2,2
-3,2,2
-6,-1,1
-6,-1,1
-6,-1,1
-6,-1,1
-6,-1,1
-6,-1,1
-6,-10,-1
-4,-10,-1
-4,-10,-1
-4,-10,-1
-4,-10,-1
-4,-10,-1
-9,-10,-2
-9,-10,-2
-9,-10,-2
-9,-10,-2
-9,-10,-2
-9,-10,-2
-6,-1,-2
-6,-1,-2
-6,-1,-2
-6,-1,-2
-6,-1,-2
-7,1,13
-7,1,13
-7,1,13
-7,1,13
-7,1,13
-7,1,13
9,-24,332
9,-24,332
9,-24,332
9,-24,332
9,-24,332
9,-24,332
56,88,703
56,88,703
56,88,703
56,88,703
56,88,703
56,88,502
9,238,502
9,238,502
9,238,502
9,238,502
9,238,502
-17,357,112
-17,357,112
-17,357,112
-17,357,112
-17,357,112
-20,491,-132
-20,491,-132
-20,491,-132
-20,491,-132
-20,491,-132
-92,503,-136
-92,503,-136
-92,503,-136
-92,503,-136
-92,503,-136
-214,537,-40
-214,537,-40
-214,537,-40
-214,537,-40
-214,537,-40
-355,556,48
-355,556,48
-355,556,48
-355,556,48
-355,556,48
-285,651,138
-285,651,138
-285,651,138
-285,651,138
-285,651,138
-140,932,301
-140,932,301
-140,932,301
-140,932,301
-140,932,301
-69,1247,494
-69,1247,494
-69,1247,494
-69,1247,494
-69,1247,494
-102,1452,611
-102,1452,611
-102,1452,611
-102,1452,611
-296,1454,705
-296,1454,705
-296,1454,705
-296,1454,705
-296,1454,705
-516,1052,617
